full_text,tweet_id,screen_name,user_ID
Sorry that was the ad lol,1514747805385912321,Tipo08_,181420497
Lunchables 10% more then the leading competitors…🤔🤨…I thought they were the leading competitors 🤨🤔 somebody lying.,1514747745390710792,Tipo08_,181420497
That’s how I feel https://t.co/WPjRiO1riW,1514520861969068033,Tipo08_,181420497
Drunk eating healthy who am I no McDonald’s,1514511855305170948,Tipo08_,181420497
4 hrs at the gym fuck…only cause a lot workouts I had to look up n make sure I’m doing them right this first week is gonna destroy me!!,1514385479658921987,Tipo08_,181420497
Bro just followed a page where you see uncut footage of animals eating each other…a snake just wrapped up a Bambi deer then an hyenas came n ripped his head off…unfollow lmao that was a lot lol,1514363569835372551,Tipo08_,181420497
Gym seshes has been hitting differently recently 😌😌😌…,1514180523534417924,Tipo08_,181420497
The comfortability and understanding I have with myself is amazing…and a lot of you don’t even know who you are but once you find yourself is such a blessing.,1514179957747900416,Tipo08_,181420497
THIS!!!!!! https://t.co/JqGkBilxKE,1514179006446256133,Tipo08_,181420497
House of Wax!! 😩,1514158580852674565,Tipo08_,181420497
