full_text,tweet_id,screen_name,user_ID
#NewProfilePic https://t.co/8WgGHHoe9L,1514783990934237188,TheEarl4435,936139655799607296
#NewProfilePic https://t.co/qMJcPHuoXu,1514782713982586889,TheEarl4435,936139655799607296
"Good night for Dane Dunning. But oh fuck, we are up and going to the bullpen. HELP!!",1514778994545070086,TheEarl4435,936139655799607296
And yet again another start for Gerrit Cole where he leaves the mound pouting like a little bitch he is for no reason.,1514407164319834119,TheEarl4435,936139655799607296
This dude is a fucking idiot. And whoever put him on my time line. A big fuck you to you too. Obviously this dumb fuck doesn’t know what he’s talking about and guess what we are fuel to his brown bag with a dog turd in it. So now I’m having to fire back giving him more fuel. https://t.co/9xoftcvhQ9,1514337282370809868,TheEarl4435,936139655799607296
Must I repeat myself. This bullpen is absolute DOG SHIIIIT,1514067381018107905,TheEarl4435,936139655799607296
Straight from Vegas…… https://t.co/81aSoQyfWs,1513746624966758405,TheEarl4435,936139655799607296
Outside of this electric start for Taylor Hearn and really fun lineup. This bullpen is absolutely fucking DOG SHIT.,1513667083573288964,TheEarl4435,936139655799607296
Love it 😂😂😂😂😂😂 https://t.co/VZGHk6lTxU,1513643276301221893,TheEarl4435,936139655799607296
I swear. Outside of body type. Taylor Hearn is CC Sabathia 2.0 it’s almost identical. He’s kicked ass today!,1513628726558400527,TheEarl4435,936139655799607296
