full_text,tweet_id,screen_name,Tweet_user_ID,original_user_ID
I love Jekyll so much. https://t.co/REUoFsjnOe,1554314468737294336,baseballtwit,18292847,160056247
Jeanie Buss' official Twitter account appears to have been hacked 😬 https://t.co/Zx6P2c1O23,1554313105391226881,ClutchPointsApp,3312776298,160056247
I'm teaching a new course called DSCI 401 in the fall.  It's out M.S. Data Science intro class for our new M.S. Data Science program.  We have 6 people enrolled in this class.  This is really happening!,1552698331696185345,StatsInTheWild,24096463,160056247
"Monkey hired to carry towels for tennis players resigns on first day of work! ❤️😂
https://t.co/1iCaCT5UEo",1552368154839498757,TheFigen,213831700,160056247
"Murphy addresses the lack of noon home games. “Here’s the reality: if we have a lot of noon home games, we’re a shitty team.”",1551607664345595905,AaronNagler,16953393,160056247
"Josh Hader had a VERY rough end to the first half

One of our Video Scouts studied the data and some video and came up with one possibility for what's going on.

Our deep dive via @domricotta15:

https://t.co/WnBpCn4SFX",1550212393921282054,sis_baseball,1320840086221692928,160056247
"And then the moment of “It’s Really Happening!!!” when Fiserv Forum was filled with BUCKS IN SIX chants as we waited for the final seconds until it was finally a reality. 

BUCKS CHAMPIONSHIP WAS REAL https://t.co/MvafUNit2C",1549820523676602368,brewcitypaul,90180035,160056247
Jovan emptied the clip here lmaoo. https://t.co/SMvZ7bxxQd,1549601097207234560,LeSwiderman,1543373015123124226,160056247
"The 32 facts you have to know before you draft your fantasy football team for the 2022 NFL season 

All in one place. Un-threaded. You're welcome.

https://t.co/RLywEG7sId",1549471213667471363,JoshNorris,19752348,160056247
"99 stats and a Mitch IS one 🔥

@4for4_John breaks down 99 stats, splits, and metrics that will help you win your fantasy league ⤵️

https://t.co/z6XGLpeBki",1549469260614860805,4for4football,53922985,160056247
10 free websites that are so valuable they feel illegal to know:,1549379680402153472,heykahn,1236801913179574282,160056247
"Tableau meets R. 

Learn more: https://t.co/2QcdDfVi5V

#rstats  #datascience https://t.co/SpkmTcC6lF",1549372742763413504,mdancho84,815555071517872128,160056247
Thanks. I had good Material! 😁🙏💍🏀 https://t.co/2YyQQQdQAx,1548872526549467136,nbated,387475717,160056247
